Geneid,SRR15679346,SRR15679347,SRR15679348,SRR15679349
ENSMUSG00000026219,16365,12106,12709,13780
ENSMUSG00000103505,6,12,5,6
ENSMUSG00000104503,23,13,17,10
ENSMUSG00000073633,513,451,270,303
ENSMUSG00000026220,32,23,107,42
ENSMUSG00000118590,2,0,0,0
ENSMUSG00000099693,0,0,0,0
ENSMUSG00000026104,286,202,198,195
ENSMUSG00000026383,9861,7185,7026,7503
ENSMUSG00000099569,0,0,0,0
ENSMUSG00000102687,4,2,0,2
ENSMUSG00000060519,56,61,50,32
ENSMUSG00000060743,16319,13591,11282,8305
ENSMUSG00000073485,137,60,107,119
ENSMUSG00000084558,0,5,0,6
ENSMUSG00000038806,2023,1849,1370,1405
ENSMUSG00000052477,0,1,0,0
ENSMUSG00000103979,0,0,2,0
ENSMUSG00000064281,1,4,1,2
ENSMUSG00002076475,0,0,0,0
ENSMUSG00000118640,0,0,0,0
ENSMUSG00000104251,0,0,0,0
ENSMUSG00000061852,0,0,0,0
ENSMUSG00000089976,0,0,0,0
ENSMUSG00000033557,1679,1299,1681,1200
ENSMUSG00000102961,13,14,0,0
ENSMUSG00000046057,2,0,0,0
ENSMUSG00000101279,0,0,0,0
ENSMUSG00000066652,0,0,2,2
ENSMUSG00000025932,25,17,62,56
ENSMUSG00002075819,0,0,0,0
ENSMUSG00000102588,0,0,4,0
ENSMUSG00000054493,0,0,0,2
ENSMUSG00000089844,0,2,0,0
ENSMUSG00000073631,0,0,0,0
ENSMUSG00000026520,1103,1047,497,545
ENSMUSG00000025930,4,0,0,2
ENSMUSG00000103492,0,0,0,0
ENSMUSG00000081201,1,2,2,1
ENSMUSG00000038793,0,2,0,0
ENSMUSG00000082193,4,0,1,0
ENSMUSG00000090128,0,0,0,0
ENSMUSG00000026384,3008,1989,2871,3269
ENSMUSG00000091876,0,5,0,0
ENSMUSG00000103146,18,6,12,26
ENSMUSG00000100436,0,0,0,0
ENSMUSG00000090277,0,0,0,0
ENSMUSG00000100042,0,0,0,0
ENSMUSG00000100636,1,0,0,0
ENSMUSG00000101224,1,3,0,2
ENSMUSG00000036975,264,187,195,209
ENSMUSG00000032769,2,0,0,0
ENSMUSG00000088159,0,0,0,0
ENSMUSG00000073737,8,18,2,0
ENSMUSG00000092083,226,71,328,317
ENSMUSG00000102937,0,0,0,2
ENSMUSG00000104149,4,0,0,0
ENSMUSG00000088829,0,0,0,0
ENSMUSG00000026519,43,22,44,18
ENSMUSG00000085563,0,2,0,0
ENSMUSG00000103930,0,0,0,0
ENSMUSG00000036962,0,0,0,0
ENSMUSG00000092245,0,0,0,0
ENSMUSG00000026387,2,0,6,2
ENSMUSG00000038776,32,44,72,53
ENSMUSG00000050777,0,10,12,6
ENSMUSG00000103516,0,0,0,0
ENSMUSG00000102858,0,0,0,0
ENSMUSG00000038768,0,0,0,0
ENSMUSG00000104390,4,0,0,0
ENSMUSG00000103328,1,0,0,0
ENSMUSG00000102219,3,2,0,0
ENSMUSG00000026516,2925,2033,2059,2098
ENSMUSG00000103178,64,44,0,0
ENSMUSG00000062169,992,845,973,911
ENSMUSG00000026103,8677,7525,7013,8405
ENSMUSG00000099648,0,0,0,0
ENSMUSG00000065192,0,0,0,0
ENSMUSG00000002881,713,783,424,381
ENSMUSG00000097833,0,0,0,0
ENSMUSG00000101501,0,0,0,0
ENSMUSG00000100120,0,0,0,0
ENSMUSG00000099878,2,0,0,0
ENSMUSG00000100007,15,10,10,2
ENSMUSG00000058665,0,0,0,0
ENSMUSG00000099957,0,0,0,0
ENSMUSG00000101700,0,0,0,0
ENSMUSG00000104332,0,0,2,2
ENSMUSG00000043015,625,541,489,707
ENSMUSG00000103630,6,2,12,6
ENSMUSG00000038733,7303,5549,6629,6240
ENSMUSG00000003721,1157,839,907,932
